2025/08/05 18:50:04 GET /api/users/me | Status: 200 | Duration: 68.14925ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 18:50:04 GET /api/address | Status: 200 | Duration: 67.309208ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 18:50:04 GET /api/wallet | Status: 200 | Duration: 67.155667ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 18:50:04 GET /api/user-roles | Status: 200 | Duration: 71.071083ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 18:50:04 GET /api/cart/ | Status: 200 | Duration: 4.250334ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 18:50:04 GET /api/order/113 | Status: 200 | Duration: 84.826875ms | IP: 127.0.0.1 | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15
2025/08/05 19:01:42 GET /api/order | Status: 200 | Duration: 31.983375ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:43 GET /api/shop | Status: 200 | Duration: 4.318042ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:43 PATCH /api/users/me/ | Status: 200 | Duration: 5.539167ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:44 GET /api/shop/2 | Status: 200 | Duration: 4.37325ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:44 GET /api/products/shop/2 | Status: 200 | Duration: 2.732833ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:49 POST /api/cart | Status: 201 | Duration: 9.352125ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:49 GET /api/cart | Status: 200 | Duration: 3.13525ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:50 GET /api/cart | Status: 200 | Duration: 2.012833ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:50 GET /api/wallet | Status: 200 | Duration: 1.471041ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:50 GET /api/shop/2 | Status: 200 | Duration: 2.395084ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:01:59 POST /api/order | Status: 201 | Duration: 3.452ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:02:00 POST /api/payment/razorpay | Status: 201 | Duration: 1.216614625s | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:02:00 GET /api/cart | Status: 200 | Duration: 1.450042ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:02:42 POST /api/payment/razorpay/verify-payment | Status: 200 | Duration: 754.130625ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:02:42 GET /api/cart | Status: 200 | Duration: 885.542µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:02:47 GET /api/order | Status: 200 | Duration: 1.744292ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:03:00 GET /api/order | Status: 200 | Duration: 1.851292ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:03:01 GET /api/shop | Status: 200 | Duration: 643.833µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:03:01 PATCH /api/users/me/ | Status: 200 | Duration: 987.833µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:03:03 GET /api/products/all | Status: 200 | Duration: 2.721959ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:03:50 GET /api/shop/2 | Status: 200 | Duration: 1.066542ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:03:50 GET /api/products/shop/2 | Status: 200 | Duration: 12.191125ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:04:57 GET /api/shop | Status: 200 | Duration: 1.305625ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:02 GET /api/wallet | Status: 200 | Duration: 791.833µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:02 GET /api/wallet/transactions | Status: 200 | Duration: 36.395417ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:06 GET /api/shop/owner | Status: 200 | Duration: 651.25µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:06 GET /api/order/shop/0 | Status: 200 | Duration: 3.021042ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:06 GET /api/order/shop/2 | Status: 200 | Duration: 1.154542ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/product-category/2 | Status: 200 | Duration: 2.740833ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/products/shop/2 | Status: 200 | Duration: 708.917µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/shop-dashboard/delivery-stats/2 | Status: 200 | Duration: 7.373625ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/shop-dashboard/order-analytics/2 | Status: 200 | Duration: 1.607209ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/shop-dashboard/top-selling-products/2 | Status: 200 | Duration: 3.057209ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/shop-dashboard/performance-metrics/2 | Status: 200 | Duration: 2.458416ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 1.585791ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:08 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 1.245667ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:09 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 1.022084ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/delivery-stats/2 | Status: 200 | Duration: 1.318375ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/order-analytics/2 | Status: 200 | Duration: 1.362708ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/top-selling-products/2 | Status: 200 | Duration: 865.875µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/performance-metrics/2 | Status: 200 | Duration: 1.177708ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 1.450959ms | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/customer-insights/2 | Status: 200 | Duration: 934µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:12 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 611.125µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:18 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 887.667µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:18 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 614.291µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
2025/08/05 19:05:25 GET /api/shop-dashboard/revenue-analytics/2 | Status: 200 | Duration: 622.416µs | IP: 127.0.0.1 | UA: Dart/3.7 (dart:io)
